UID        PID  PPID  C STIME TTY          TIME CMD
rahul     3311  2729  2 12:48 ?        00:08:36 /usr/lib/firefox/plugin-container /usr/lib/flashplugin-installer/libflashplayer.so -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appdir /usr/lib/firefox/browser 2729 true plugin
rahul     3519  2653  0 13:35 pts/18   00:00:00 bash
rahul     3626  2653  0 13:47 pts/19   00:00:00 bash
rahul     4285  2653  0 15:26 pts/21   00:00:00 bash
rahul     4553  2152  1 15:49 ?        00:02:24 gedit
rahul     4565  1394  0 15:49 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.5 /org/gtk/gvfs/exec_spaw/0
rahul     6113  2663  1 18:10 pts/1    00:00:38 /usr/bin/python2.7
rahul     6144  4285  0 18:17 pts/21   00:00:00 vim test_definition.tdf
root      6243     2  0 18:28 ?        00:00:01 [kworker/1:1]
root      6321     2  0 18:35 ?        00:00:00 [kworker/u4:1]
rahul     6356  2663  2 18:45 pts/1    00:00:23 /usr/bin/python2.7 RunTest.py
root      6362     2  0 18:45 ?        00:00:00 [kworker/0:0]
root      6383     2  0 18:47 ?        00:00:00 [kworker/u4:2]
root      6431     2  0 18:51 ?        00:00:00 [kworker/0:2]
root      6465     1  0 18:55 ?        00:00:00 /lib/systemd/systemd-hostnamed
root      6479     2  0 18:56 ?        00:00:00 [kworker/1:2]
root      6481     2  0 18:57 ?        00:00:00 [kworker/u4:0]
rahul     6506  2663  0 19:02 pts/1    00:00:00 /usr/bin/python2.7 IOTest.py
rahul     6507  6506  0 19:02 pts/1    00:00:00 ps -ef
